Semester_Week,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,hour,minute,sin_hour,cos_hour,Day_Of_Week,Is_weekend,Semester_Spring 2017,Class_Standing_Graduate,Class_Standing_Junior,Class_Standing_Other,Class_Standing_Senior,Class_Standing_Sophomore,Expected_Graduation_Fall Semester 2019,Expected_Graduation_Fall Semester 2020,Expected_Graduation_Spring Semester 2017,Expected_Graduation_Spring Semester 2018,Expected_Graduation_Spring Semester 2020,Expected_Graduation_Spring Semester 2021,Expected_Graduation_Summer Semester 2017,Expected_Graduation_Summer Semester 2018,Expected_Graduation_Summer Semester 2019,Expected_Graduation_Summer Semester 2020,Gender_MALE,time_bin_Evening,time_bin_Morning,course_level_Grad level Course,course_level_Junior level Course,course_level_Senior level Course,course_level_Sophomore level Course,course_level_Unknown course number,occupancy
4,13,3.75,142.0,2.4,1.35,13,56,-0.2588190451025208,-0.9659258262890683,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
9,13,3.75,142.0,2.4,1.35,10,47,0.49999999999999994,-0.8660254037844387,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
3,13,3.75,142.0,2.4,1.35,16,49,-0.8660254037844384,-0.5000000000000004,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
9,13,3.75,142.0,2.4,1.35,14,23,-0.4999999999999998,-0.8660254037844388,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10,13,3.75,142.0,2.4,1.35,15,56,-0.7071067811865471,-0.7071067811865479,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
10,13,3.75,142.0,2.4,1.35,10,46,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
3,13,3.75,142.0,2.4,1.35,12,42,1.2246467991473532e-16,-1.0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
14,13,3.75,142.0,2.4,1.35,10,14,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
5,13,3.75,142.0,2.4,1.35,15,2,-0.7071067811865471,-0.7071067811865479,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5,13,3.75,142.0,2.4,1.35,15,11,-0.7071067811865471,-0.7071067811865479,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
12,13,3.75,142.0,2.4,1.35,16,55,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
12,13,3.75,142.0,2.4,1.35,14,20,-0.4999999999999998,-0.8660254037844388,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
10,13,3.75,142.0,2.4,1.35,13,51,-0.2588190451025208,-0.9659258262890683,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
5,13,3.75,142.0,2.4,1.35,13,44,-0.2588190451025208,-0.9659258262890683,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
7,13,3.75,142.0,2.4,1.35,15,16,-0.7071067811865471,-0.7071067811865479,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
9,18,3.833,129.0,3.014,0.819,14,0,-0.4999999999999998,-0.8660254037844388,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18
2,18,2.333,155.0,2.383,-0.05,11,48,0.258819045102521,-0.9659258262890682,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,11
